source_ip,destination_ip,protocol,source_port,destination_port,bytes_transferred,packets_sent,packets_received,timestamp,service_type,encryption,authentication,access_control,data_encryption,data_integrity,error_detection,error_correction,compression,routing_protocol,packet_size,latency,response_time,connection_duration,connection_status,class
75,75,2,6964,3308,8796,1080,5003,2793,2,6358,6702,7997,1153,6240,5229,7371,3367,8222,1947,876,1971,3022,1,1
76,76,1,5790,3347,8503,3787,3201,8055,5,3281,4800,4457,4960,8013,7718,5414,9836,7611,9891,3107,3781,540,3,1
77,77,0,1739,5409,7247,6553,497,4939,4,6536,3737,1181,4796,4465,1633,9110,9594,8877,4716,7895,3935,1678,3,0
78,78,0,3629,970,6252,9113,1532,8735,2,2315,6154,1711,8403,7382,9151,6557,6688,2823,2839,1822,1379,2622,2,1
79,79,2,1234,3179,500,2353,2232,3109,2,6814,3409,8374,9876,1167,9383,945,4015,318,3436,6964,4347,4555,2,0
80,80,2,9508,7800,8323,9316,3226,1780,1,419,180,6347,4356,263,2417,5603,2951,7295,2690,2761,4881,5838,0,1
81,81,1,4998,4056,102,5238,8556,5091,5,878,1618,1672,8935,7747,9869,8266,771,6868,9004,8197,3762,4214,0,1
82,82,0,7909,3072,6470,5565,4948,1068,3,6510,7135,9893,8412,636,6486,5753,4512,1729,3072,2510,5661,3603,3,0
83,83,0,1222,2295,8602,2709,1768,2094,3,1936,7784,1076,14,9839,4736,2350,726,3511,4545,4748,9897,6388,0,1
84,84,1,1704,394,2044,3248,7259,9100,5,8729,503,3197,5317,7260,5027,2433,2787,8619,2997,1219,737,3969,0,1
85,85,1,222,5252,4934,2093,6772,5124,0,9682,8098,2675,9080,2901,7788,9740,8134,698,1428,0,1118,2991,2,0
86,86,1,2646,1143,1085,365,6980,709,4,7318,4904,2419,8830,6974,5244,964,4085,1495,58,7378,273,3772,2,1
87,87,2,1497,6238,8661,7940,2227,2737,4,9032,3675,3962,4524,3331,4841,7938,3108,1614,6349,406,3804,7051,2,0
88,88,2,5658,7762,5175,9873,3033,6137,1,7080,1756,8043,8835,8083,9055,1805,8687,5503,1895,8180,4631,1518,0,0
89,89,2,9182,4619,6235,4380,1804,1675,3,7143,8353,2283,3320,139,8335,5240,1596,5320,3902,9826,5839,3902,3,1
90,90,1,300,9625,6843,4401,2582,4911,2,7185,7276,8198,9259,7488,6567,2136,1102,6124,78,9204,9,7580,2,0
91,91,1,6202,6651,1099,9072,8922,9431,2,6535,7071,6326,1850,1109,8879,5509,6659,2221,8375,9358,4273,685,1,0
92,92,0,4823,4368,5936,9728,6595,7481,4,4364,1462,4351,8296,2910,6931,2672,4290,2856,205,7954,3242,4342,2,0
93,93,2,466,2230,8677,2687,6454,3134,2,1465,4033,5915,3998,8904,7273,5085,3900,5494,7427,6637,8339,1117,2,0
94,94,0,7717,3159,7121,2968,5190,6500,2,1063,5122,9124,4694,5652,6730,2567,3026,1961,5389,6068,5068,1190,1,0
95,95,0,449,5055,361,1935,4014,7242,5,6138,6754,1888,1502,5054,8994,8306,9637,1014,2643,342,4385,7706,1,1
96,96,1,2958,3933,2853,7102,364,5435,2,1437,3810,1214,7569,5583,760,9413,7868,6134,2665,7123,6422,6654,2,1
97,97,1,2952,5535,6940,660,3467,3226,0,1889,2302,8658,2093,7158,6651,4887,9869,5135,6458,8642,490,6724,3,0
98,98,0,8547,7657,1102,7895,1601,8977,3,9748,1524,314,9046,6249,6843,6570,5099,2199,7136,4355,7951,5075,1,0
99,99,1,165,3539,4535,4819,133,3816,2,884,4418,4128,5284,4219,6408,3717,4317,5899,4417,9034,4538,7686,2,1
100,100,0,8257,8774,1203,6788,4132,6029,3,136,6357,2740,2315,9126,818,7293,6720,4748,7332,2607,1690,3226,0,0
101,101,0,9437,5156,9160,843,7294,5534,0,1479,5224,7805,3327,2490,4291,2263,7110,8401,8288,7866,2053,6908,2,1
102,102,1,1436,4045,3178,22,463,9132,3,5747,2681,4199,7755,6554,712,8262,1355,8924,3932,2594,3961,303,0,1
103,103,0,3032,1070,6772,4799,1527,8040,2,4843,347,1318,5215,5656,9479,9829,4959,4451,2627,2157,3027,6326,0,1
104,104,1,3222,3795,4357,3686,3196,7640,2,5521,5502,5220,1089,5268,2672,2393,1708,8818,7078,5764,911,9576,0,1
105,105,2,6087,6219,6632,1201,2370,1731,5,8368,1676,1343,513,3137,9883,135,7007,3773,9325,7846,7344,4757,0,1
106,106,0,2944,2870,6297,4906,1296,540,0,5876,5430,5867,4001,9802,7716,4402,6212,5364,5695,4408,7613,827,0,1
107,107,2,524,2260,5779,8985,4376,5371,1,1748,4863,6710,3843,9374,8396,6205,6110,7220,2723,4970,4683,4615,3,1
108,108,0,4879,4188,9036,3305,2649,8579,2,6617,6507,1199,3875,6635,4737,3080,1860,3627,8989,5236,4610,5464,1,0
109,109,1,1428,6051,8542,6416,9928,9693,3,6248,4681,4545,7290,6788,9464,7113,9530,1494,4473,5331,950,6301,1,1
110,110,2,7855,2488,8367,6213,6772,9324,3,8781,2386,8516,5956,3222,547,6378,9620,9450,6660,1141,9734,3519,0,0
111,111,0,6731,5605,7907,2469,7732,7599,1,6605,1058,9361,9012,359,2101,3793,131,9654,9430,9505,1335,5966,1,0
112,112,0,3676,412,3952,2198,696,7353,3,7865,7313,4392,2822,3901,8747,9155,1580,4821,2470,7138,9737,3870,3,1
113,113,1,4634,3347,4998,6334,3257,214,3,9939,7810,5206,9848,4357,6415,6282,4595,1421,135,7686,7823,9274,1,0
114,114,1,8878,8187,4376,471,7586,4542,3,4729,1214,5998,2397,7322,1082,1780,9404,4666,6468,3701,4956,1420,1,1
115,115,0,8672,2081,7723,4807,8968,4377,2,9643,3068,7779,3163,2980,8000,7861,7521,2033,8498,3344,3311,3696,0,1
116,116,1,5299,3409,9026,396,5130,3778,4,152,8397,9901,7216,86,5695,3876,2217,6242,3394,7700,5867,9269,0,0
117,117,0,3718,8853,6983,2006,9262,3841,5,419,2465,7843,8151,1706,2894,9828,5828,7281,5447,8693,4673,9697,1,1
118,118,2,5745,2459,5808,2319,9784,1630,4,2288,2348,9766,9790,1276,1625,5672,3029,8887,7386,9083,4365,9402,2,0
119,119,2,8896,5285,37,5837,4950,3455,5,1693,7051,2754,2675,3852,4541,9947,4564,9152,7128,1170,7008,3648,3,1
120,120,2,6497,4047,5578,1428,5708,8180,3,1857,7751,6878,5531,3820,4563,5657,5751,2679,758,8058,817,8365,0,0
121,121,2,6186,1298,6613,6465,5534,8383,0,4074,8626,5043,1229,187,8148,2053,6712,1507,6185,3779,5682,7439,3,1
122,122,1,6221,2594,6064,4422,303,8291,3,7101,6476,9513,3230,7391,5572,3942,4067,871,7661,2569,8652,8057,3,1
123,123,2,481,9509,285,7519,6664,3229,5,6486,4373,1378,7394,56,47,8130,611,9410,2340,4652,9874,897,0,0
124,124,0,701,1679,5015,3961,8129,6434,5,5646,5811,6541,466,4172,1730,8305,8366,3118,8537,3710,2545,4433,1,1
125,125,1,5515,5201,9193,5068,4795,8347,5,8167,67,4120,2659,467,5439,6138,9561,7577,634,9562,4473,7223,2,0
126,126,1,913,2604,9889,4643,8855,8710,3,8762,4781,313,360,2418,3962,3312,2573,3768,8315,4997,8309,4620,1,0
127,127,1,2932,7986,7649,6507,179,7313,0,1057,1546,7491,1234,1945,805,3429,8994,5202,3459,8178,39,7688,2,1
128,128,2,3981,2271,4168,1934,4948,4056,2,3819,7934,5157,2924,9917,3906,5149,4331,6173,694,3611,6540,1119,2,0
129,129,1,8799,4087,9574,9407,4832,2644,1,5149,4403,3516,9394,4742,4417,2859,9231,8486,7566,8483,4728,2409,3,0
130,130,2,6905,8296,7294,4994,4765,584,2,9622,4097,4151,7972,3683,9158,5221,1679,1458,952,8224,1466,9372,3,0
131,131,2,5044,3128,1879,2432,3608,6396,0,8754,9160,8027,6907,3759,3079,2387,2558,1820,8105,1631,6348,8180,1,0
132,132,1,2337,2534,3612,1808,6997,7172,4,3967,1410,7818,8401,7426,9593,7064,6478,5231,4135,3945,6401,1258,0,1
133,133,0,3775,3713,5807,2437,5497,5325,4,2948,437,387,1038,7214,7509,9395,5119,9957,467,7343,1291,808,2,0
134,134,0,3871,4274,9261,1228,1946,4513,0,615,8595,8394,7127,4008,9341,1967,132,7383,2108,9098,6642,694,2,1
135,135,1,5623,239,5495,8526,6165,4306,1,8259,4828,9631,8902,8207,340,9071,8728,9046,5940,3489,8790,4189,3,1
136,136,1,7567,8728,9767,9792,6966,8711,1,2830,3087,8131,2679,9454,8014,767,1258,1377,655,5811,3723,9720,3,1
137,137,1,6574,5187,9799,3073,4249,8985,5,1667,672,2857,7259,3103,5214,6818,627,1080,9996,6700,780,2661,2,1
138,138,2,8460,9466,9921,7592,8074,6323,5,9209,4406,5036,2786,2864,8193,4485,3437,1256,5662,2091,9512,2395,0,0
139,139,1,9927,8054,9306,3669,4714,5166,1,9951,8355,8124,1237,4994,4654,2513,6552,5680,2786,7043,8394,1518,2,0
140,140,1,72,9136,8447,7708,9277,7202,3,6741,5937,1782,4221,9381,9398,6538,2262,8630,3812,8418,3572,2990,0,0
141,141,0,8736,3852,5359,9979,9912,6513,1,9947,6530,2971,55,8872,8544,2221,7583,6836,2162,8767,6836,1257,0,0
142,142,1,6783,2992,1388,4356,5767,849,0,2048,5850,3519,6156,9435,6301,6637,9648,2810,4164,9703,8328,8564,3,0
143,143,0,8169,2605,4786,6423,3534,8186,3,2919,2318,8478,8909,3339,3384,9451,4320,2145,9617,4120,255,7980,0,0
144,144,0,7138,4237,7888,4271,8129,9328,2,9910,2371,5833,6544,6065,5054,5927,9415,7371,7007,2227,4879,2910,3,0
145,145,2,5871,4921,901,7875,620,6403,3,1911,1099,5099,7155,1607,1700,7917,5085,8296,5682,7627,56,2085,3,0
146,146,2,8986,8620,4301,6394,3632,970,0,1651,4175,7735,2273,2725,981,161,7210,7244,4883,6967,2393,9423,0,1
147,147,1,629,7643,9303,9281,4408,9425,1,9144,6806,3618,4649,7280,635,3594,4597,1639,9280,6999,5417,7125,3,0
148,148,1,1243,8584,7822,6639,5366,4758,0,3714,4498,2451,5585,3478,9562,1246,2978,3810,5926,9821,8529,2747,2,1
149,149,1,135,9971,8645,1830,2972,5981,1,1423,7291,592,9992,2897,3294,6607,2092,5487,5136,3229,6416,680,1,1
150,150,2,246,6685,9448,7960,9657,5738,4,7287,8343,3035,208,4236,476,9205,2927,2721,1647,8406,4616,7597,2,0
151,151,1,7298,1452,5699,256,6715,8369,2,6057,1107,6296,1832,9884,8747,8313,8369,2912,8177,8920,3469,4271,2,0
152,152,2,6967,7017,3536,8724,3751,2282,5,4211,713,2257,5597,255,3741,5163,7237,4054,7771,4886,7722,6315,0,0
153,153,0,9993,6356,2085,8344,6153,9276,0,5546,7592,7568,7211,7693,9053,5369,9479,164,9670,8940,3124,302,1,1
154,154,0,7532,1242,1036,2930,3311,2651,3,7686,8122,1546,386,4736,2411,7771,5329,3925,8497,7505,7849,996,3,1
155,155,1,5066,7689,1354,1884,4294,1148,3,5058,9637,9385,9574,3556,9102,7430,3446,9827,4925,8390,7970,6269,3,0
156,156,0,3863,2056,7036,7309,6585,8611,0,964,3425,5945,4700,6884,5704,3746,4368,8237,4195,443,2442,1162,0,0
157,157,2,0,7369,7482,4363,4840,1111,3,9417,6687,458,2378,48,4560,4613,5457,7305,6538,5935,1127,5874,0,1
158,158,1,5850,6320,1148,8256,4045,4854,1,3640,4584,972,9035,3860,3454,7974,4032,5135,7699,9799,2035,6614,1,0
159,159,0,1376,8972,6050,3945,1572,842,2,1086,5054,8023,315,843,3235,6590,6890,2068,398,9449,7074,8969,1,0
160,160,2,3899,5935,5251,6336,1709,2521,0,6424,6373,7794,9790,4356,8212,4034,5954,6060,2724,9989,3964,5734,2,0
161,161,1,1902,611,1571,700,4944,2028,1,6057,2718,1903,3779,6966,9594,9873,1637,4775,4360,9760,8576,3546,1,0
162,162,1,6144,4437,9302,3492,3636,5471,0,7415,8448,9460,4159,2965,6457,7896,6777,580,1938,6812,8698,3478,3,0
163,163,2,3792,3143,7346,4572,6314,6938,2,9616,6527,7745,4776,7193,6589,9867,3819,9448,3875,8430,6999,1339,0,0
164,164,2,4659,4119,5126,3706,1057,8125,0,4623,5068,1487,4644,195,4746,6027,7807,540,7270,2970,174,1727,0,0
165,165,2,8539,3273,9666,6191,7260,6759,0,9663,4298,5650,3112,7852,5740,7545,8397,1641,7897,9558,9767,3222,2,0
166,166,0,9442,4938,5906,4831,5424,3956,0,644,6582,3675,1302,6717,7888,1904,6704,8826,4740,3523,2109,7953,2,0
167,167,1,5787,4696,937,313,2713,3133,3,114,7552,7960,2417,9733,7037,3271,1654,8805,3183,5960,3308,4840,0,1
168,168,2,4513,6707,4251,2515,1568,3485,2,9105,5286,238,1598,9133,5055,6178,5777,2961,6362,4868,96,8920,0,0
169,169,1,4090,1818,2301,6858,2275,1788,5,4172,1719,2833,5318,2375,5897,9337,8681,5227,468,1380,1807,6375,3,1
170,170,0,2645,3149,5359,1196,8068,3618,3,6723,2622,7449,4104,3188,2748,3918,3845,6589,8527,653,3141,1848,3,1
171,171,0,2264,9086,4423,5819,5766,351,1,9104,3682,5903,1629,5860,3618,7249,9557,423,9355,487,7644,2521,2,0
172,172,1,2871,6915,3951,5950,2582,3678,3,9737,716,36,1873,4185,9266,1941,8061,2469,1102,2669,533,8636,1,0
173,173,1,2488,9103,7187,3797,9104,2565,0,9129,1686,1147,2544,8058,1537,2761,4437,7952,3863,8244,8521,8849,3,1
174,174,2,4099,3967,8349,7086,9305,8489,3,2632,5087,7237,378,808,8878,1718,9713,5919,7987,3073,7251,5871,0,0
175,175,1,3184,5996,587,7281,5840,6195,4,9888,6994,2946,5973,1169,9576,5544,5691,37,2826,6891,2542,8961,1,0
176,176,1,7009,3219,2135,4161,7161,1135,2,2022,5706,4062,2829,2314,7788,7438,9798,514,620,9299,9712,2512,2,1
177,177,0,8710,4077,2615,8827,931,9285,0,180,2462,9927,3900,2258,1766,1865,2257,4570,1058,5267,1256,56,3,0
178,178,0,6572,9728,6234,6743,8736,3886,2,7494,8931,8431,4957,6336,8428,1009,9535,8835,5976,1062,6304,2983,1,1
179,179,0,8082,5031,5492,8100,1219,9761,3,6238,8282,653,9977,8562,3338,2951,2416,7839,374,455,4415,8555,2,0
180,180,2,2308,8304,7786,366,8139,5016,4,6559,8297,9891,2405,5170,1256,7332,4513,7574,809,5270,6608,8185,1,1
181,181,1,7546,190,1293,1320,9354,7183,2,6891,1876,7482,5294,7648,6707,7828,9623,1886,5923,768,8909,7020,2,0
182,182,2,2495,1380,292,4319,7155,2165,3,8500,9573,2476,8615,3247,621,5347,4124,9395,8643,7430,1938,6191,1,0
183,183,2,1094,5371,4233,442,9797,5450,0,5846,7023,6976,4441,354,9372,3670,3827,1716,3734,4375,9825,7620,1,1
184,184,2,6326,8713,4320,3919,8140,2800,4,3799,2488,9623,3778,8367,9966,4471,809,6554,707,4492,6051,4859,2,0
185,185,1,7170,9426,7900,5115,2822,5132,1,6121,1372,3047,9817,3332,1975,8157,8298,7380,5382,9178,1521,2234,2,0
186,186,1,2063,6233,9895,3297,4039,1186,0,5456,2405,8081,4764,5761,9483,9085,3780,3762,3397,7911,9221,3265,2,1
187,187,0,7556,2087,2964,4075,5586,636,1,9455,6376,8280,3953,5718,8266,5684,9453,1704,176,7041,183,7911,0,0
188,188,1,7112,5391,6442,738,6500,5364,3,614,8575,681,3659,3832,7418,9506,8634,1523,4875,3343,6049,8184,3,1
189,189,2,2559,1040,5781,9789,1224,641,3,8547,8415,2720,3162,2179,8021,2914,7888,5895,6138,7743,1439,2612,1,1
190,190,0,1488,3917,5215,7384,7548,4198,1,5456,9225,4064,3577,2839,5285,1180,7567,5120,1601,665,2607,2773,2,0
191,191,1,2024,470,7210,6807,2879,876,3,3472,2191,4092,344,560,1887,2748,7914,9771,5833,6096,3728,855,2,1
192,192,2,4634,4606,3856,6475,8309,6296,2,955,9630,9706,9345,9378,5129,1426,1437,3158,4353,1252,4937,1726,2,1
193,193,1,5492,1989,9523,3457,1969,6129,1,639,3668,3508,9618,3770,1832,8870,8312,4273,6233,8854,3629,6485,1,1
194,194,0,4921,5650,698,2926,5615,1343,5,1842,6018,5175,1702,9010,4846,3299,9836,3977,3213,626,3147,2851,0,1
195,195,1,8448,9073,1866,7984,9199,4300,2,3582,8412,1088,5715,1062,8396,3051,6118,4811,6833,8330,4474,682,1,0
196,196,1,8494,4492,7011,9111,9130,7203,5,4222,4656,7229,515,991,6414,9295,8401,1526,5148,2860,365,855,1,0
197,197,1,8290,9067,4658,4145,2842,1748,1,437,4268,7223,1605,2040,9627,4327,3413,7713,1583,6663,4156,8473,0,0
198,198,1,7362,1866,4815,8886,1760,2796,3,2458,776,4919,6508,5769,1510,1813,4300,1190,2492,255,758,4634,3,1
199,199,2,9155,249,492,2876,2484,5287,2,8481,2202,1430,6904,7064,9924,6525,9249,8546,6829,1613,4670,2679,2,1
200,200,2,6037,5840,4853,6382,8467,5051,4,8637,4277,6079,2891,9488,9546,2060,38,210,6009,7386,4917,2483,3,1
201,201,2,1206,1330,9610,5994,2325,5369,0,7998,5068,592,6334,8597,6796,8971,3066,9241,5239,6141,742,912,2,0
202,202,2,1010,1774,7689,2479,2252,2987,5,9345,679,1192,97,6864,6377,1,9682,1659,1072,126,8164,4800,2,1
203,203,0,8840,3140,109,7396,1982,3269,2,636,3632,6919,9693,2671,7496,8073,5415,9083,7709,3648,9528,3240,3,1
